發生或發現時間,發生或發現地點,發生或發現管轄機關
1131110  1650,臺南市中西區中西區西門路一段658號(新光三越G樓A區),AC2P1  臺南市政府警察局第二分局南門派出所
1131113  1100,臺南市北區北區勝利路138號,AC5R1  臺南市政府警察局第五分局開元派出所
1131113  1720,臺南市南區夏林、永華路口(水萍塭公園側機車停車,AC6P1  臺南市政府警察局第六分局金華派出所
1131113  1708,臺南市善化區中山路78號,AC9Y1  臺南市政府警察局善化分局善化派出所
1131113  0630,臺南市永康區鹽洲里鹽洲二街175巷10號,ACBS1  臺南市政府警察局永康分局鹽行派出所
1131103  1352,臺南市永康區永康區南台街1號,ACBS1  臺南市政府警察局永康分局鹽行派出所
1131113  1632,臺南市永康區大橋二街62-3號前,ACBN1  臺南市政府警察局永康分局大橋派出所
1130825  1647,臺南市永康區中正南路358號,ACBS1  臺南市政府警察局永康分局鹽行派出所
1130324  1852,臺南市永康區復興路427號,ACBP1  臺南市政府警察局永康分局復興派出所
1130410  0430,臺南市永康區復興路411號,ACBP1  臺南市政府警察局永康分局復興派出所
1131031  2000,臺南市永康區永平街56巷1弄2號旁花圃,ACBO1  臺南市政府警察局永康分局永康派出所
1130824  1115,臺南市永康區中正南路533號,ACBS1  臺南市政府警察局永康分局鹽行派出所
1131112  2330,臺南市新營區中興路32號,ACDV1  臺南市政府警察局新營分局中山路派出所
1131112  1500,臺南市新營區東隆街9號,ACDV1  臺南市政府警察局新營分局中山路派出所
1130818  1746,臺南市麻豆區興民街6號,ACGM2  臺南市政府警察局麻豆分局麻豆派出所
1131112  0830,臺南市麻豆區忠孝路23-25號,ACGM2  臺南市政府警察局麻豆分局麻豆派出所
1131114  1651,臺南市東區仁和路126號東區仁和路126號統一超商竹篙厝門市,AC1O1  臺南市政府警察局第一分局德高派出所
1131114  0900,臺南市東區立德三路24號,AC1M1  臺南市政府警察局第一分局文化派出所
1131114  2100,臺南市東區中華東路3段377巷東區中華東路三段377巷與中華東路三段399巷11弄口(巴克禮公園旁機車停車格),AC1O1  臺南市政府警察局第一分局德高派出所
1131109  1306,臺南市中西區中西區西門路與正興街口西市場內設計展展場,AC2M1  臺南市政府警察局第二分局海安派出所
1131114  1130,臺南市中西區武聖路151巷24號,AC2N1  臺南市政府警察局第二分局長樂派出所
1131028  1400,臺南市新市區仁愛街291號大快樂選物販賣店,AC3T1  臺南市政府警察局第三分局安順派出所
1131114  0337,臺南市安平區府平路536號,AC4M1  臺南市政府警察局第四分局育平派出所
1131031  1256,臺南市佳里區鎮山里延平路91號,AC7X1  臺南市政府警察局佳里分局佳里派出所
1131113  1720,臺南市七股區三股里06鄰三股路134號,AC7U1  臺南市政府警察局佳里分局三股派出所
1131114  0600,臺南市永康區中華路598號,ACBP1  臺南市政府警察局永康分局復興派出所
1131114  0800,臺南市新化區崙頂里崙子頂88號之2,ACCQ1  臺南市政府警察局新化分局唪口派出所
1131114  0147,臺南市柳營區光福五街43號,ACDT1  臺南市政府警察局新營分局柳營分駐所
1131112  1245,臺南市柳營區中山西路二段61號,ACDT1  臺南市政府警察局新營分局柳營分駐所
1131114  2300,臺南市東區長榮路3段6號東區長榮路三段6號(興南眼鏡)騎樓,AC1R1  臺南市政府警察局第一分局東寧派出所
1130630  1451,臺南市東區莊敬里小東路280號3樓,AC1N1  臺南市政府警察局第一分局莊敬派出所
1131111  1600,臺南市安南區本田路1段150號之38,AC3N1  臺南市政府警察局第三分局顯宮派出所
1131114  2204,臺南市北區北區公園路317號對面(臺南公園人行道),AC5O1  臺南市政府警察局第五分局北門派出所
1131115  0920,臺南市北區北區育德路403號早餐店門口,AC5P1  臺南市政府警察局第五分局公園派出所
1131114  1615,臺南市北區臨安路2段310號,AC5N1  臺南市政府警察局第五分局立人派出所
1130731  1402,臺南市北區文賢路765號1樓,AC5M1  臺南市政府警察局第五分局和緯派出所
1131115  0750,臺南市北區北區公園南路89號台南公園內涼亭(靠近公園南路廁所旁之涼亭),AC5O1  臺南市政府警察局第五分局北門派出所
1131115  0714,臺南市佳里區忠仁里中山路242號,AC7X1  臺南市政府警察局佳里分局佳里派出所
1131115  0311,臺南市歸仁區大潭里長榮路1段279號,ACAO1  臺南市政府警察局歸仁分局大潭派出所
1131108  1558,臺南市關廟區山西里南雄路二段421號 全聯關廟南雄店,ACAX1  臺南市政府警察局歸仁分局關廟分駐所
1130816  0047,臺南市永康區永大路2段122號,ACBR1  臺南市政府警察局永康分局大灣派出所
1130524  1714,臺南市永康區中正北路179號,ACBS1  臺南市政府警察局永康分局鹽行派出所
